Work Item Type,Title,Description,Acceptance Criteria,Parent
User Story,Notificar resultado de calificación al usuario por correo electrónico,Yo como Submitter quiero recibir el resultado de mi calificación por correo electrónico para entonces no estar pendiente de la plataforma mientras el sistema procesa.,"• Al finalizar la evaluación, el sistema envía un correo al Submitter con el resultado completo: identidad de la carta, grado estimado, banda de incertidumbre, nivel de confianza global y subgrades por dimensión.
• El correo incluye también la recomendación accionable y el disclosure de no certificación obligatorio.
• El correo enlaza al detalle del análisis en la aplicación, donde el usuario puede ver la explicación extendida (defectos detectados, versión del algoritmo, métricas extraídas).
• Una sola notificación por evaluación; el contenido del correo es consistente con lo que el usuario verá en la aplicación.
Alternos:
• Si el envío falla por causa transitoria, el sistema reintenta automáticamente con backoff hasta agotar reintentos; el resultado queda igualmente accesible en la aplicación.
• Si el correo del usuario fue marcado como permanently bounced o inválido, se notifica al Admin para revisión y el resultado queda solo en la plataforma con indicador visual.",
User Story,Calcular nivel de confianza de calificación,Yo como sistema quiero calcular automáticamente un nivel de confianza global y por dimensión para cada calificación para entonces que el Submitter pueda interpretar el resultado y decidir si confiar en él.,"• Confianza calculada por subgrade (centering, corners, edges, surface) y global de la evaluación.
• Presentación al usuario en escala comprensible (Alta / Media / Baja) acompañada del valor numérico.
Alternos:
• Si la confianza global cae bajo el umbral, la evaluación se deriva automáticamente a revisión humana.",
User Story,Ver detalle del análisis de la carta,Yo como Submitter quiero ver en la aplicación el detalle completo del análisis de mi carta para entonces entender cómo se llegó al grado y poder defenderlo o justificar la decisión de envío profesional.,"• La vista en la aplicación es la fuente extendida del resultado: muestra todo lo que el correo incluye (identidad, grado final, banda de incertidumbre, nivel de confianza global, subgrades por dimensión, recomendación accionable y disclosure) más la información ampliada que no cabe en el correo.
• Información ampliada: por cada subgrade se muestran los defectos detectados específicos (ejemplo: micro-whitening en esquina superior izquierda, nicking leve en borde inferior), métricas extraídas y razonamiento del scoring.
• Visible: versión del algoritmo usada, fecha de evaluación y disclosure de no certificación.
• El contenido en la aplicación se mantiene consistente con el del correo de notificación; el correo es un resumen, la aplicación es la fuente completa.
Alternos:
• Si la evaluación tuvo intervención humana (revisión o calificación manual), se indica el origen humano del resultado y el motivo de la derivación.
• Si la vista detallada no puede renderizarse por un fallo, se muestra al menos el resultado básico (grado, confianza, recomendación) con mensaje accionable para reintentar.",
User Story,Consultar precio,Yo como sistema quiero consultar automáticamente el precio de mercado de la carta calificada para entonces poder generar la recomendación económica al Submitter.,"• Tras calcular el grado, el sistema invoca a la API de PokéMarket usando identidad de la carta y grado estimado.
• La API responde con un rango de precio probable (mínimo, esperado, máximo) que queda asociado a la evaluación.
• La consulta se ejecuta con timeout configurado y reintento con backoff exponencial.
Alternos:
• Timeout o fallo de la API tras agotar reintentos: el flujo continúa en modo degradado (sin valor de mercado) y la carta se encola a tasación manual para que un evaluador humano asigne el precio.
• La API responde pero no tiene datos para esa identidad y grado (carta no cubierta): también se encola a tasación manual.
• Si la API cae a media operación, la evaluación queda con grado válido pero sin precio; se puede reprocesar la consulta cuando la API se recupere o derivar a tasación manual.",
User Story,Solicitar tasación manual,Yo como sistema quiero solicitar tasación manual cuando la consulta automática de precio no se puede completar para entonces no dejar la evaluación sin valor de mercado.,"• Encolado a la lista de tasación manual cuando la consulta de precio falla o no devuelve datos.
• Priorización por valor estimado del grado y antigüedad.
• Notificación al usuario con SLA esperado de 48 horas.
Alternos:
• Cola saturada: SLA extendido informado al usuario.
• Si la API se recupera antes que el operador tase la carta, el sistema completa la tasación automática y lo informa.",
User Story,Tasar manualmente,Yo como Reviewer quiero tasar manualmente las cartas en cola para entonces resolver evaluaciones que el motor automático no pudo completar y cumplir el SLA con el usuario.,"• Lista priorizada con identidad, grado estimado y motivo de derivación por carta.
• El Reviewer ingresa rango de precio referenciado y comentario; al guardar, se asocia a la evaluación y se notifica al usuario.
Alternos:
• Si el grado estimado parece incorrecto, el Reviewer puede derivar la carta a revisión humana del grado antes de tasarla.",
User Story,Ver resultados de tasaciones,Yo como Admin quiero ver los resultados de tasaciones manuales para entonces auditar el desempeño del flujo humano y la calidad del trabajo del Reviewer.,"• Lista con identidad, grado, rango de precio asignado, Reviewer y tiempo de resolución.
• Filtros por Reviewer, rango de fechas y SLA cumplido o incumplido.
• Cada elemento navega al detalle completo de la evaluación.
Alternos:
• Sin tasaciones en el rango filtrado, estado vacío.",
User Story,Crear recomendación post tasación,"Yo como Submitter quiero recibir una recomendación accionable que combine grado, valor de mercado y costo de envío profesional para entonces tomar una decisión económica informada sobre mi carta.","• Una vez disponibles grado y rango de precio, se genera una de cuatro recomendaciones: conservar, vender raw, enviar a grading profesional o derivar a revisión humana.
• La recomendación incluye valor esperado del envío, costo de grading profesional considerado (PSA Regular como referencia base) y ganancia esperada respecto al raw.
• Lleva su propio nivel de confianza y se presenta junto al detalle de la evaluación.
Alternos:
• Si grado o precio fueron humanos (manual), la recomendación lo indica explícitamente.
• Si el costo de envío profesional excede el valor esperado, la recomendación es no enviar a grading.",
User Story,Solicitar re-evaluación de una carta,Yo como Submitter quiero solicitar la re-evaluación de una de mis cartas con la versión actual del algoritmo para entonces aprovechar mejoras del modelo sin perder el resultado original.,"• El usuario pide re-evaluación de cualquier evaluación pasada cuyos datos se conserven.
• La re-evaluación se persiste como evaluación nueva e independiente, vinculada a la original.
• El historial muestra ambas versiones con su versión del algoritmo.
Alternos:
• Si la versión actual coincide con la original, se informa al usuario y se solicita confirmación.
• Si las imágenes ya no están retenidas, no se puede re-evaluar y se notifica al usuario.",
User Story,Solicitar replay masivo de evaluaciones,Yo como Submitter Pro quiero solicitar el replay masivo de varias de mis cartas con la última versión del algoritmo para entonces refrescar mi historial sin pedir re-evaluación carta por carta.,"• El Pro selecciona un conjunto de evaluaciones y dispara su replay.
• Cada carta se procesa como re-evaluación independiente; al cerrar el lote, se notifica al usuario.
• Cada nueva evaluación queda vinculada a la original y a la versión activa del algoritmo.
Alternos:
• Sin plan Pro, la opción no está disponible.
• Lotes grandes se procesan por etapas con progreso parcial.
• Cartas con imágenes ya purgadas se omiten y se reportan al usuario.",
User Story,Ver historial de evaluaciones de una carta,Yo como Submitter quiero ver el historial de evaluaciones de una carta para entonces entender la evolución del resultado a lo largo de las versiones del algoritmo.,"• Línea de tiempo con todas las evaluaciones de la carta (originales y re-evaluaciones).
• Cada entrada muestra fecha, grado, confianza y versión del algoritmo; navega al detalle completo.
Alternos:
• Sin evaluaciones aún, estado vacío con CTA para iniciar una.
• Una sola evaluación se muestra como entrada única.
• Las evaluaciones de origen humano se identifican explícitamente.
• Si el historial falla al cargar, se ofrece reintentar.",
User Story,Comparar evaluaciones de dos cartas distintas (Pro),Yo como Pro Collector quiero comparar las evaluaciones de dos cartas distintas lado a lado para entonces analizar consistencia del sistema o tomar decisiones de portfolio.,"• Selección de dos cartas del historial Pro y vista comparativa lado a lado.
• Comparación de grado, banda de incertidumbre, nivel de confianza y subgrades por dimensión.
• La vista resalta las diferencias más significativas.
Alternos:
• Sin plan Pro, la opción no está disponible.
• Si una carta no tiene evaluación válida, la comparación se permite pero se informa la limitación.",
User Story,Solicitar revisión humana automática,Yo como sistema quiero derivar automáticamente a revisión humana las evaluaciones cuya confianza esté bajo el umbral configurado para entonces no entregar al usuario un resultado poco confiable como definitivo.,"• Cuando la confianza global cae bajo el umbral, la evaluación se encola para revisión humana con motivo registrado.
• La evaluación queda en estado ‘en revisión humana’ y el usuario recibe notificación con SLA esperado.
Alternos:
• Cola saturada: SLA extendido informado al usuario.
• El resultado preliminar queda visible para el usuario marcado como ‘tentativo, en revisión’.",
User Story,Ver solicitudes de revisión humana,Yo como Submitter quiero ver mis solicitudes en revisión humana con su estado y SLA para entonces saber cuánto debo esperar.,"• Lista de evaluaciones derivadas a revisión con estado, fecha de derivación y SLA esperado.
• Cada elemento navega al detalle con el grado tentativo.
Alternos:
• Sin solicitudes en revisión, estado vacío.",
User Story,Inspeccionar solicitud de revisión,Yo como Reviewer quiero inspeccionar la solicitud de revisión con todos sus inputs para entonces evaluar si el grado tentativo es correcto.,"• El Reviewer ve imagen original, subgrades calculados, métricas extraídas, grado tentativo, confianza y versión del algoritmo.
• Las imágenes se pueden ampliar para análisis visual detallado y se muestra el historial previo de la carta cuando exista.
Alternos:
• Si las imágenes ya no están retenidas, la revisión se hace solo con métricas y se marca como tal.",
User Story,Revisar manualmente,Yo como Reviewer quiero ajustar o confirmar el grado tentativo y emitir la evaluación revisada para entonces cerrar la solicitud y entregar al usuario un resultado calibrado.,"• El Reviewer confirma el grado tentativo o ajusta subgrades y grado final.
• Comentario obligatorio cuando hay ajustes.
• Al guardar, la evaluación queda como ‘revisada por humano’ con autor (anonimizado al usuario), versión del algoritmo y timestamp; se notifica al usuario.
Alternos:
• Si la carta no es procesable, se deriva a calificación humana desde cero.
• Reasignación entre Reviewers ante sobrecarga o ausencia, sin perder trazabilidad.",
User Story,Inspeccionar y reprocesar evaluación irrecuperable,Yo como Admin quiero inspeccionar el registro de evaluaciones irrecuperables y disparar reprocesamiento manual para entonces recuperar evaluaciones que el sistema no pudo completar tras varios intentos.,"• Lista de evaluaciones que entraron al registro tras 5 fallos consecutivos en cualquier etapa, con identificador, motivo del último fallo, etapa, intentos y fecha del último intento.
• El Admin dispara reprocesamiento de una evaluación específica.
• Al recuperarse, la evaluación sale del registro y continúa el flujo normal.
• Cada acción del Admin queda en auditoría inmutable con motivo.
Alternos:
• Si el reprocesamiento vuelve a fallar, la evaluación regresa al registro con el contador incrementado y el nuevo motivo.
• Si el motivo es disponibilidad de imágenes (ya purgadas), el Admin puede derivar a calificación humana en vez de reprocesar.
• Sin evaluaciones en el registro, estado vacío.
• Si la lista falla al cargar, se ofrece reintentar.",
User Story,Calificar humanamente carta no procesable,Yo como Reviewer quiero calificar manualmente las cartas que el motor automático no pudo procesar para entonces no perder cartas y entregar un resultado al usuario.,"• Lista de cartas marcadas como ‘no procesables’ por imposibilidad técnica.
• El Reviewer evalúa visualmente la carta y asigna grado, subgrades, confianza y comentario.
• La evaluación queda con origen humano, autor (anonimizado al usuario), timestamp y motivo original de la imposibilidad; se notifica al usuario.
Alternos:
• Si las imágenes son insuficientes incluso para evaluación humana, se rechaza y se solicita al usuario recapturar.",
User Story,Modificar Playbook,Yo como Admin quiero modificar el Playbook del algoritmo para entonces publicar versiones nuevas con mejoras documentadas.,"• Nueva versión con pesos, dataset de validación, métricas comparativas, motivos del cambio y fecha de liberación.
• La versión queda en estado ‘borrador’ hasta pasar la suite de regresión y liberarse; identificador único e inmutable.
• La versión activa anterior se conserva en histórico.
Alternos:
• Datos requeridos incompletos bloquean la creación.
• Si la versión propuesta no pasa la regresión, no puede liberarse.",
User Story,Consultar información del Playbook,"Yo como Admin quiero consultar la información del Playbook (versión activa, histórico y regresiones) para entonces auditar la evolución del algoritmo y defender decisiones.","• Versión activa con pesos, dataset, métricas y motivos.
• Histórico completo de versiones liberadas y sus resultados de regresión.
Alternos:
• Si aún no hay versión liberada (solo borrador), estado informativo con esa indicación.
• Sin permisos sobre el Playbook, lectura restringida.
• Si la información falla al cargar, se ofrece reintentar.",
User Story,Validar Playbook,Yo como sistema quiero ejecutar la suite de regresión sobre el dataset de calibración por cada cambio propuesto al Playbook para entonces no permitir liberar versiones que degraden la calidad.,"• Cada cambio dispara automáticamente la suite de regresión sobre el dataset de calibración.
• Reporte con precisión por nivel de grado, distribución del error y métricas de calibración.
• Si la regresión global supera el umbral de degradación configurado, el release queda bloqueado.
• Dentro del umbral, la versión queda lista para liberar.
Alternos:
• Sin dataset disponible, la regresión no corre y el cambio queda bloqueado.
• Si la suite falla por error técnico, se reporta el fallo y se permite reintentar.",
User Story,Activar versión del Playbook a porcentaje de tráfico,Yo como Admin quiero activar una versión nueva del Playbook a un porcentaje de tráfico para entonces hacer rollout progresivo y validar comportamiento en producción sin romper el sistema.,"• El Admin asigna a una versión un porcentaje de tráfico (por ejemplo 10%); el restante continúa en la versión activa anterior.
• El porcentaje se puede revertir en cualquier momento sin redespliegue.
• Cada cambio queda registrado con autor y timestamp.
Alternos:
• Suma de porcentajes que excede 100% se rechaza.
• Una versión que no pasó la regresión no puede recibir tráfico.",
User Story,Configurar umbrales de derivación a revisión humana y de identificación,Yo como Admin quiero configurar los umbrales de derivación a revisión humana y de aceptación de identificación para entonces ajustar el balance entre tasa de revisión humana y calidad esperada.,"• Configuración del umbral global de confianza para derivación a revisión humana.
• Configuración de los umbrales de aceptación para búsqueda rápida y especializada.
• Cada cambio en auditoría inmutable con autor, timestamp, valor anterior, valor nuevo y motivo opcional.
• Los cambios afectan evaluaciones nuevas y no retroactivamente las ya emitidas.
Alternos:
• Umbral fuera del rango configurado se rechaza.
• Ante fallo del sistema al guardar, la configuración previa permanece vigente.",
User Story,Configurar métricas de calibración del Playbook,Yo como Admin quiero configurar las métricas de calibración del Playbook (confidence vs precisión y drift en producción) para entonces detectar tempranamente degradación de calidad del algoritmo.,"• El Admin define qué métricas de calibración se monitorean.
• Por métrica: umbral de alerta y destinatario de la alerta.
• Cálculo periódico sobre evaluaciones reales comparando confianza reportada con precisión observada.
• Cuando una métrica supera el umbral, se notifica al destinatario.
Alternos:
• Sin datos suficientes en el periodo, se reporta como ‘datos insuficientes’ sin disparar alerta.",
User Story,Conectar tienda con API B2B,"Yo como Customer B2B (tienda) quiero conectar mis sistemas al API B2B usando mi API key, cuota y SLA contractual para entonces evaluar cartas de mis clientes en mostrador con el motor de PokéGrading.","• Autenticación con API key contra el endpoint de evaluación; la API key identifica al Customer B2B y a la cuenta de servicio etiquetada.
• Validación de que la API key esté activa y de que el Customer B2B esté dentro de su cuota mensual.
• Cada evaluación procesada consume cuota del Customer B2B y queda registrada con la API key que la originó.
Alternos:
• API key inválida, revocada o suspendida: rechazo con código de error claro.
• Customer B2B con cuota mensual agotada: rechazo con la fecha de reinicio del ciclo.
• SLA contractual del Customer B2B en riesgo por carga: el tráfico B2B se prioriza sobre el B2C de Submitters.",
User Story,Ver resultados de evaluaciones B2B,Yo como Customer B2B (tienda) quiero consultar los resultados de las evaluaciones que envié al API B2B para entonces presentárselos a mis clientes en mostrador.,"• El Customer B2B consulta estado y resultado de cualquier evaluación que envió usando una API key suya.
• Resultado: grado estimado, banda de incertidumbre, confianza, recomendación y disclosure.
• Las evaluaciones permanecen accesibles vía API durante el periodo de retención contractual del Customer B2B.
Alternos:
• Sin evaluaciones aún o sin matches del filtro, estado vacío.
• Evaluación en proceso: se devuelve estado y tiempo estimado.
• API key consultando que no pertenece al mismo Customer B2B que originó la evaluación: rechazo por privacidad e aislamiento entre Customers.
• Fallo temporal: código de error claro y reintento posible.",
User Story,Notificar cuota mensual al alcanzar 80%,Yo como Customer B2B (tienda) quiero recibir una notificación cuando mi consumo mensual alcance el 80% de la cuota para entonces ajustar mi uso o renegociar plan antes de que se agote.,"• Monitoreo continuo del consumo agregado por Customer B2B (suma de todas sus API keys etiquetadas).
• Al 80% del consumo mensual del Customer B2B, se notifica al contacto técnico y al contacto comercial una sola vez por ciclo.
• El contador y la habilitación de la notificación se reinician al inicio del nuevo ciclo mensual.
Alternos:
• Si el consumo salta de menos del 80% directamente a más del 100% en un periodo corto, se envían consecutivas las notificaciones de 80% y de cuota agotada.",
User Story,Solicitar borrado de mis imágenes y datos,Yo como Submitter quiero solicitar el borrado de mis imágenes y datos personales para entonces ejercer mi derecho legal de privacidad bajo la Ley 8968 de Costa Rica y la Ley 81 de 2019 de Panamá.,"• El usuario solicita el borrado desde su perfil y el sistema confirma la solicitud con timestamp y motivo opcional.
• Las imágenes se borran dentro del SLA legal aplicable y los metadatos se anonimizan donde sea legal hacerlo.
• Las evaluaciones se conservan anonimizadas para integridad estadística del modelo.
• El usuario recibe confirmación al completarse el borrado.
Alternos:
• Si el borrado afecta evidencia requerida en una disputa legal activa, se informa la limitación y solo se procesa lo legalmente borrable.",
User Story,Notificar al usuario sobre retención próxima,Yo como Submitter quiero recibir una alerta proactiva antes de que mis imágenes sean borradas por política de retención para entonces decidir si exportarlas o extender el periodo.,"• Antes de cumplirse el periodo de retención, el usuario recibe una alerta con qué imágenes se borrarán y cuándo.
• La alerta incluye opciones para exportar el historial o solicitar extensión del periodo (sujeto al plan).
• Una sola alerta por lote de imágenes próximas a vencer.
Alternos:
• Sin respuesta del usuario, las imágenes se borran al cumplir el periodo y se notifica el resultado.
• Plan que no permite extensión: se informa la limitación.",
User Story,Exportar historial de evaluaciones en JSON con verificación de integridad,Yo como Submitter quiero exportar mi historial completo de evaluaciones en JSON con verificación de integridad para entonces tener una copia portable y auditable de mi información.,"• Exportación desde el perfil con todas las evaluaciones: grado, confianza, versión del algoritmo y referencias a imágenes.
• El archivo incluye un mecanismo de verificación de integridad que permite confirmar que no fue alterado.
• Entrega por descarga directa o correo según preferencia.
Alternos:
• Historial muy grande: se procesa en background y se notifica al usuario al estar listo.
• Historial parcialmente borrado por solicitud previa: se exporta lo restante con nota explicativa.",
User Story,Exportar evaluación para uso legal o disputa,Yo como Admin quiero exportar evaluaciones puntuales de cualquier usuario para uso legal o disputa para entonces responder a requerimientos legales o investigaciones internas con evidencia auditable.,"• Exportación de una evaluación por identificador o por usuario asociado.
• El export incluye identidad de la carta, grado, subgrades, confianza, versión del algoritmo, autor (cuando hubo revisión humana), timestamps y referencias a imágenes.
• Mecanismo de verificación de integridad y sello de tiempo incluidos.
• Motivo legal obligatorio (referencia a expediente, requerimiento o disputa).
• Cada exportación queda en auditoría inmutable con autor (Admin), motivo, identificador y timestamp.
Alternos:
• Si la evaluación está bajo solicitud de borrado activa, se informa al Admin y se registra la decisión.
• Evaluación inexistente o purgada por retención legal: rechazo con sugerencia de pasos alternativos.
• Sin permisos para exportar evaluaciones de otros usuarios: rechazo.
• Fallo del sistema durante la exportación: sin auditoría parcial; se ofrece reintentar.",
User Story,Generar reporte de cumplimiento del milestone con el inversor,Yo como Admin quiero generar el reporte de cumplimiento del milestone para entonces presentar al inversor evidencia auditable del avance del proyecto contra los compromisos contractuales.,"• Reporte con: total de evaluaciones por usuarios externos (no founders) en el periodo, NPS de usuarios Beta, versiones liberadas del Algorithm Playbook con sus métricas, evidencia de calibración y cumplimiento de SLAs.
• Rango de fechas configurable, con preset al milestone contractual (al 31 de diciembre de 2026: 200 evaluaciones externas y NPS ≥ 40).
• Sello de generación con autor, timestamp y mecanismo de verificación de integridad; queda en histórico de reportes.
• Cada generación en auditoría inmutable.
Alternos:
• Sin datos suficientes para alguna métrica: se indica explícitamente y se ofrece reporte parcial.
• Milestone marcado manualmente como cumplido o incumplido: se refleja con autor y motivo de la decisión.
• Fallo del sistema en la generación: reintento posible sin duplicar el sello de tiempo.",
User Story,Mostrar página 'Cómo funciona PokéGrading' con disclosure obligatorio,Yo como visitante o usuario quiero ver una página pública que explique cómo funciona PokéGrading con el disclosure obligatorio para entonces tener transparencia algorítmica antes de usar el servicio.,"• Descripción accesible de qué hace el algoritmo, qué inputs usa, qué outputs produce, sus limitaciones y cómo se calibra.
• Disclosure visible: PokéGrading es estimación informativa; no sustituye PSA, BGS ni CGC.
• Enlace al Algorithm Playbook técnico para detalle.
• La descripción se mantiene alineada con la versión activa del Playbook.
Alternos:
• Cuando hay versión nueva del Playbook, la página se actualiza automáticamente o se marca como ‘pendiente de actualización’.",
User Story,Evaluar carta en Discovery,Yo como sistema quiero delegar la identificación de una carta al modelo Discovery cuando se cumplen los criterios de adopción para entonces aprovechar mejor precisión sin comprometer costo ni latencia.,"• Cuando los criterios de adopción están activos, la identificación se delega a Discovery en el paso que correspondería ejecutar la búsqueda especializada.
• Discovery devuelve los candidatos top con su confianza.
• Si el candidato top supera el umbral configurado, se acepta automáticamente.
Alternos:
• Baja confianza o sin match: se solicita detección manual al usuario.
• Criterios de adopción desactivados (costo, precisión o latencia fuera de rango): el sistema vuelve a la búsqueda especializada clásica.",
User Story,Solicitar detección manual por fallo en Discovery,Yo como sistema quiero solicitar detección manual al usuario cuando Discovery falle o no resuelva con suficiente confianza para entonces no perder la evaluación.,"• Ante baja confianza o falla de Discovery, el flujo se redirige a búsqueda manual.
• Cuando Discovery devolvió candidatos, se ofrecen al usuario como punto de partida.
• El usuario selecciona del catálogo o sube nueva foto.
Alternos:
• Pérdida total de conexión con Discovery: el flujo cae a búsqueda especializada clásica como respaldo.",
User Story,Ver reporte de evaluaciones de Discovery,Yo como Admin quiero ver un reporte de las evaluaciones procesadas por Discovery para entonces tener visibilidad operativa sobre el uso del modelo y su contribución.,"• Reporte con cantidad de evaluaciones procesadas por Discovery, tasa de éxito, latencia promedio y costo unitario.
• Filtros por rango de fechas; resaltado de desviaciones respecto a SLAs configurados.
Alternos:
• Sin actividad de Discovery en el rango filtrado, estado vacío.",
User Story,"Comparar rendimiento entre Discovery, búsqueda rápida y búsqueda especializada",Yo como Admin quiero comparar el rendimiento de Discovery contra la búsqueda rápida y la especializada para entonces decidir si Discovery debe quedar como path principal de identificación.,"• Comparativa de precisión, latencia y costo unitario sobre el mismo conjunto de evaluaciones (dataset de calibración + muestra real del Beta).
• Indicación clara de si los criterios de adopción del caso se cumplen: precisión superior en al menos 5 puntos porcentuales, p95 ≤ 5 segundos y costo unitario aceptable.
• El Admin aprueba o rechaza la promoción de Discovery a path principal con base en el reporte.
Alternos:
• Datos insuficientes para comparación estadística: se indica y no se permite la promoción.",
